"DateTime","NIFTY BANK"
"2001-08-07 00:00:00",963.64
"2001-08-08 00:00:00",949.76
"2001-08-09 00:00:00",942.72
"2001-08-10 00:00:00",953.84
"2001-08-13 00:00:00",963.51
"2001-08-14 00:00:00",975.12
"2001-08-16 00:00:00",967.26
"2001-08-17 00:00:00",970.08
"2001-08-20 00:00:00",964.36
"2001-08-21 00:00:00",954.93
"2001-08-23 00:00:00",953.06
"2001-08-24 00:00:00",954.17
"2001-08-27 00:00:00",954.08
"2001-08-28 00:00:00",944.57
"2001-08-29 00:00:00",946.29
"2001-08-30 00:00:00",938.3
"2001-08-31 00:00:00",939.57
"2001-09-03 00:00:00",940.38
"2001-09-04 00:00:00",927.59
"2001-09-05 00:00:00",927.45
"2001-09-06 00:00:00",917.34
"2001-09-07 00:00:00",911.98
"2001-09-10 00:00:00",907.04
"2001-09-11 00:00:00",899.98
"2001-09-12 00:00:00",864.41
"2001-09-13 00:00:00",860.68
"2001-09-14 00:00:00",819.21
"2001-09-17 00:00:00",755.86
"2001-09-18 00:00:00",791.3
"2001-09-19 00:00:00",803.51
"2001-09-20 00:00:00",786.3
"2001-09-21 00:00:00",743.7
"2001-09-24 00:00:00",749.83
"2001-09-25 00:00:00",753.43
"2001-09-26 00:00:00",762.5
"2001-09-27 00:00:00",778.3
"2001-09-28 00:00:00",797.97
"2001-10-01 00:00:00",810.26
"2001-10-03 00:00:00",800.19
"2001-10-04 00:00:00",808.18
"2001-10-05 00:00:00",816.48
"2001-10-08 00:00:00",806.7
"2001-10-09 00:00:00",812.29
"2001-10-10 00:00:00",824.19
"2001-10-11 00:00:00",837.9
"2001-10-12 00:00:00",858.59
"2001-10-15 00:00:00",855.42
"2001-10-16 00:00:00",855.47
"2001-10-17 00:00:00",863.45
"2001-10-18 00:00:00",852.81
"2001-10-19 00:00:00",857.27
"2001-10-22 00:00:00",868.73
"2001-10-23 00:00:00",878.3
"2001-10-24 00:00:00",884.62
"2001-10-25 00:00:00",884.74
"2001-10-29 00:00:00",893.42
"2001-10-30 00:00:00",878
"2001-10-31 00:00:00",875.15
"2001-11-01 00:00:00",890.79
"2001-11-02 00:00:00",901.93
"2001-11-05 00:00:00",913.44
"2001-11-06 00:00:00",920.37
"2001-11-07 00:00:00",912.1
"2001-11-08 00:00:00",909.11
"2001-11-09 00:00:00",908.28
"2001-11-12 00:00:00",908.74
"2001-11-13 00:00:00",908.92
"2001-11-14 00:00:00",911.91
"2001-11-15 00:00:00",914.89
"2001-11-19 00:00:00",916.24
"2001-11-20 00:00:00",928.5
"2001-11-21 00:00:00",919.01
"2001-11-22 00:00:00",926.3
"2001-11-23 00:00:00",925.13
"2001-11-26 00:00:00",937.95
"2001-11-27 00:00:00",955.93
"2001-11-28 00:00:00",948.28
"2001-11-29 00:00:00",928.1
"2001-12-03 00:00:00",917.02
"2001-12-04 00:00:00",913.9
"2001-12-05 00:00:00",914.62
"2001-12-06 00:00:00",927.17
"2001-12-07 00:00:00",918.91
"2001-12-10 00:00:00",920.29
"2001-12-11 00:00:00",896.32
"2001-12-12 00:00:00",891.55
"2001-12-13 00:00:00",879.65
"2001-12-14 00:00:00",860.17
"2001-12-18 00:00:00",861.58
"2001-12-19 00:00:00",849.87
"2001-12-20 00:00:00",862.46
"2001-12-21 00:00:00",853.34
"2001-12-24 00:00:00",844.82
"2001-12-26 00:00:00",842.07
"2001-12-27 00:00:00",821.02
"2001-12-28 00:00:00",842.97
"2001-12-31 00:00:00",868.61
"2002-01-01 00:00:00",870.25
"2002-01-02 00:00:00",878.02
"2002-01-03 00:00:00",903.03
"2002-01-04 00:00:00",903.9
"2002-01-07 00:00:00",886.59
"2002-01-08 00:00:00",877.93
"2002-01-09 00:00:00",900.17
"2002-01-10 00:00:00",898.38
"2002-01-11 00:00:00",892.85
"2002-01-14 00:00:00",936.27
"2002-01-15 00:00:00",931.9
"2002-01-16 00:00:00",938.1
"2002-01-17 00:00:00",939.65
"2002-01-18 00:00:00",948.48
"2002-01-21 00:00:00",938.47
"2002-01-22 00:00:00",945.75
"2002-01-23 00:00:00",937.39
"2002-01-24 00:00:00",920.09
"2002-01-25 00:00:00",920.64
"2002-01-28 00:00:00",939.24
"2002-01-29 00:00:00",922.23
"2002-01-30 00:00:00",926.8
"2002-01-31 00:00:00",917.79
"2002-02-01 00:00:00",923.38
"2002-02-04 00:00:00",946.63
"2002-02-05 00:00:00",941.37
"2002-02-06 00:00:00",1010
"2002-02-07 00:00:00",1024.33
"2002-02-08 00:00:00",1040.08
"2002-02-11 00:00:00",1044.52
"2002-02-12 00:00:00",1038.77
"2002-02-13 00:00:00",1057.17
"2002-02-14 00:00:00",1084.27
"2002-02-15 00:00:00",1098.96
"2002-02-18 00:00:00",1110.33
"2002-02-19 00:00:00",1071.29
"2002-02-20 00:00:00",1071.04
"2002-02-21 00:00:00",1086.94
"2002-02-22 00:00:00",1105.02
"2002-02-25 00:00:00",1103.63
"2002-02-26 00:00:00",1128.19
"2002-02-27 00:00:00",1109.17
"2002-02-28 00:00:00",1028.48
"2002-03-01 00:00:00",1062.9
"2002-03-04 00:00:00",1071.61
"2002-03-05 00:00:00",1063.62
"2002-03-06 00:00:00",1062.83
"2002-03-07 00:00:00",1066.41
"2002-03-08 00:00:00",1061.88
"2002-03-11 00:00:00",1052.04
"2002-03-12 00:00:00",1038.31
"2002-03-13 00:00:00",1042.31
"2002-03-14 00:00:00",1044.2
"2002-03-15 00:00:00",1060.62
"2002-03-18 00:00:00",1063.66
"2002-03-19 00:00:00",1058.06
"2002-03-20 00:00:00",1049.09
"2002-03-21 00:00:00",1040.72
"2002-03-22 00:00:00",1035.42
"2002-03-26 00:00:00",1034.71
"2002-03-27 00:00:00",1038.8
"2002-03-28 00:00:00",1033.58
"2002-04-01 00:00:00",1075.53
"2002-04-02 00:00:00",1067.3
"2002-04-03 00:00:00",1054.8
"2002-04-04 00:00:00",1057.07
"2002-04-05 00:00:00",1055.93
"2002-04-08 00:00:00",1069.59
"2002-04-09 00:00:00",1060.36
"2002-04-10 00:00:00",1063.45
"2002-04-11 00:00:00",1074.6
"2002-04-12 00:00:00",1077.53
"2002-04-15 00:00:00",1075.01
"2002-04-16 00:00:00",1073.39
"2002-04-17 00:00:00",1079.7
"2002-04-18 00:00:00",1085.84
"2002-04-19 00:00:00",1072.59
"2002-04-22 00:00:00",1064.28
"2002-04-23 00:00:00",1066.43
"2002-04-24 00:00:00",1069.73
"2002-04-25 00:00:00",1071.85
"2002-04-26 00:00:00",1070.19
"2002-04-29 00:00:00",1041.25
"2002-04-30 00:00:00",1044.13
"2002-05-02 00:00:00",1042.4
"2002-05-03 00:00:00",1045.67
"2002-05-06 00:00:00",1050.76
"2002-05-07 00:00:00",1062.13
"2002-05-08 00:00:00",1068.38
"2002-05-09 00:00:00",1071.6
"2002-05-10 00:00:00",1069.22
"2002-05-13 00:00:00",1069.68
"2002-05-14 00:00:00",1075.13
"2002-05-15 00:00:00",1062
"2002-05-16 00:00:00",1044.12
"2002-05-17 00:00:00",1040.53
"2002-05-20 00:00:00",1023.48
"2002-05-21 00:00:00",1022.69
"2002-05-22 00:00:00",1016.44
"2002-05-23 00:00:00",1005.44
"2002-05-24 00:00:00",1026.47
"2002-05-27 00:00:00",1022.56
"2002-05-28 00:00:00",1016.69
"2002-05-29 00:00:00",1020.86
"2002-05-30 00:00:00",1020.23
"2002-05-31 00:00:00",1039.46
"2002-06-03 00:00:00",1045.7
"2002-06-04 00:00:00",1042.61
"2002-06-05 00:00:00",1075.26
"2002-06-06 00:00:00",1103.25
"2002-06-07 00:00:00",1084.99
"2002-06-10 00:00:00",1114.64
"2002-06-11 00:00:00",1147.46
"2002-06-12 00:00:00",1163.08
"2002-06-13 00:00:00",1139.27
"2002-06-14 00:00:00",1127.52
"2002-06-17 00:00:00",1141.47
"2002-06-18 00:00:00",1143.18
"2002-06-19 00:00:00",1122.26
"2002-06-20 00:00:00",1133.25
"2002-06-21 00:00:00",1117
"2002-06-24 00:00:00",1109.26
"2002-06-25 00:00:00",1099.19
"2002-06-26 00:00:00",1086.91
"2002-06-27 00:00:00",1079.17
"2002-06-28 00:00:00",1094.7
"2002-07-01 00:00:00",1112.56
"2002-07-02 00:00:00",1122.06
"2002-07-03 00:00:00",1130.55
"2002-07-04 00:00:00",1128.22
"2002-07-05 00:00:00",1127.44
"2002-07-08 00:00:00",1125.28
"2002-07-09 00:00:00",1124.85
"2002-07-10 00:00:00",1126.29
"2002-07-11 00:00:00",1104.92
"2002-07-12 00:00:00",1103.54
"2002-07-15 00:00:00",1093.19
"2002-07-16 00:00:00",1081.32
"2002-07-17 00:00:00",1081.81
"2002-07-18 00:00:00",1090.39
"2002-07-19 00:00:00",1085.86
"2002-07-22 00:00:00",1073.26
"2002-07-23 00:00:00",1079.16
"2002-07-24 00:00:00",1063.88
"2002-07-25 00:00:00",1058.85
